Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257371, 159565, 10997145399, 10554792, 5649, 6332, 415772, 455275, 154267, 260596, 10161878, 10997414350, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162803, 11002391356, 10826096, 615, 9575, 43934, 726724, 159612, 256647, 10557817, 10997095169, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256647, 159612, 10997095169, 10557817, 4922, 6706, 364619, 474238, 159565, 257371, 10554792, 10997145399, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4922, 6092, 364597, 433973, 4921, 6116, 364522, 436070, 6332, 5649, 455275, 415772, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9923, 44130, 744903, 621, 9931, 44130, 745231, 6706, 4922, 474238, 364619, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9524, 44130, 723334, 621, 9536, 44130, 724390, 6116, 4921, 436070, 364522, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9521, 44130, 722136, 621, 9530, 44130, 722682, 6092, 4922, 433973, 364597, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257373, 159567, 10997145595, 10554988, 5649, 6332, 415772, 455275, 154269, 260598, 10162074, 10997414546, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162803, 11002391356, 10826096, 617, 9577, 44130, 726920, 159614, 256649, 10558013, 10997095365, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256649, 159614, 10997095365, 10558013, 4922, 6706, 364619, 474238, 159567, 257373, 10554988, 10997145595, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4922, 6092, 364597, 433973, 4921, 6116, 364522, 436070, 6332, 5649, 455275, 415772, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9923, 44130, 744903, 621, 9931, 44130, 745231, 6706, 4922, 474238, 364619, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9524, 44130, 723334, 621, 9536, 44130, 724390, 6116, 4921, 436070, 364522, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9521, 44130, 722136, 621, 9530, 44130, 722682, 6092, 4922, 433973, 364597, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257375, 159569, 10997145791, 10555184, 5649, 6332, 415772, 455275, 154271, 260600, 10162270, 10997414742, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162803, 11002391356, 10826096, 619, 9579, 44326, 727116, 159616, 256651, 10558209, 10997095561, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256651, 159616, 10997095561, 10558209, 4922, 6706, 364619, 474238, 159569, 257375, 10555184, 10997145791, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4922, 6092, 364597, 433973, 4921, 6116, 364522, 436070, 6332, 5649, 455275, 415772, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9923, 44130, 744903, 621, 9931, 44130, 745231, 6706, 4922, 474238, 364619, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9524, 44130, 723334, 621, 9536, 44130, 724390, 6116, 4921, 436070, 364522, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9521, 44130, 722136, 621, 9530, 44130, 722682, 6092, 4922, 433973, 364597, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257380, 159574, 10997146146, 10555539, 5650, 6333, 415847, 455350, 154275, 260606, 10162550, 10997415180, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162805, 11002391356, 10826254, 623, 9585, 44606, 727554, 159621, 256656, 10558564, 10997095916, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256656, 159621, 10997095916, 10558564, 4923, 6709, 364694, 474397, 159574, 257380, 10555539, 10997146146, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4923, 6093, 364672, 434048, 4922, 6117, 364597, 436145, 6333, 5650, 455350, 415847, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9927, 44130, 745145, 621, 9935, 44130, 745473, 6709, 4923, 474397, 364694, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9526, 44130, 723492, 621, 9538, 44130, 724548, 6117, 4922, 436145, 364597, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9523, 44130, 722294, 621, 9532, 44130, 722840, 6093, 4923, 434048, 364672, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257382, 159576, 10997146342, 10555735, 5650, 6333, 415847, 455350, 154277, 260608, 10162746, 10997415376, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162805, 11002391356, 10826254, 625, 9587, 44802, 727750, 159623, 256658, 10558760, 10997096112, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256658, 159623, 10997096112, 10558760, 4923, 6709, 364694, 474397, 159576, 257382, 10555735, 10997146342, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4923, 6093, 364672, 434048, 4922, 6117, 364597, 436145, 6333, 5650, 455350, 415847, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9927, 44130, 745145, 621, 9935, 44130, 745473, 6709, 4923, 474397, 364694, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9526, 44130, 723492, 621, 9538, 44130, 724548, 6117, 4922, 436145, 364597, 0
