Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
7,9,1,1,0,1,2,3,0,0,0,0,257809,160007,10997186504,10596093,6080,6764,456122,495680,155094,261464,10240180,10997495882,0
7,9,1,3,0,1,2,3,0,0,0,0,417979,162972,11002401450,10840470,720,9744,53888,741042,159867,256880,10580568,10997116800,0
7,9,1,2,0,1,2,3,0,0,0,0,256880,159867,10997116800,10580568,5147,6956,385593,496443,160007,257809,10596093,10997186504,0
7,9,1,5,0,1,2,3,0,0,0,0,5155,6348,386271,456865,5139,6355,384698,457380,6764,6080,495680,456122,0
7,9,1,4,0,1,2,3,0,0,0,0,726,10092,54140,759221,721,10095,53594,759003,6956,5147,496443,385593,0
7,9,1,7,0,1,2,3,0,0,0,0,711,9675,52670,736168,729,9706,54266,738862,6355,5139,457380,384698,0
7,9,1,6,0,1,2,3,0,0,0,0,727,9692,54182,736706,728,9702,54252,737266,6348,5155,456865,386271,0
7,9,1,1,0,1,2,3,0,0,0,0,257809,160007,10997186504,10596093,6082,6766,456318,495876,155096,261466,10240376,10997496078,0
7,9,1,3,0,1,2,3,0,0,0,0,417979,162972,11002401450,10840470,720,9744,53888,741042,159867,256880,10580568,10997116800,0
7,9,1,2,0,1,2,3,0,0,0,0,256880,159867,10997116800,10580568,5147,6956,385593,496443,160007,257809,10596093,10997186504,0
7,9,1,5,0,1,2,3,0,0,0,0,5155,6348,386271,456865,5141,6357,384894,457576,6766,6082,495876,456318,0
7,9,1,4,0,1,2,3,0,0,0,0,726,10092,54140,759221,721,10095,53594,759003,6956,5147,496443,385593,0
7,9,1,7,0,1,2,3,0,0,0,0,713,9677,52866,736364,729,9706,54266,738862,6357,5141,457576,384894,0
7,9,1,6,0,1,2,3,0,0,0,0,727,9692,54182,736706,728,9702,54252,737266,6348,5155,456865,386271,0
7,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6085,6769,456589,496147,155098,261470,10240572,10997496432,0
7,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
7,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
7,9,1,5,0,1,2,3,0,0,0,0,5156,6349,386346,456940,5144,6360,385165,457847,6769,6085,496147,456589,0
7,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
7,9,1,7,0,1,2,3,0,0,0,0,715,9681,53062,736718,729,9708,54266,739020,6360,5144,457847,385165,0
7,9,1,6,0,1,2,3,0,0,0,0,727,9694,54182,736864,728,9704,54252,737424,6349,5156,456940,386346,0
8,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6090,6774,456967,496525,155103,261475,10240950,10997496810,0
8,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
8,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
8,9,1,5,0,1,2,3,0,0,0,0,5156,6352,386346,457178,5149,6365,385543,458225,6774,6090,496525,456967,0
8,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
8,9,1,7,0,1,2,3,0,0,0,0,718,9684,53244,736900,731,9710,54462,739216,6365,5149,458225,385543,0
8,9,1,6,0,1,2,3,0,0,0,0,727,9697,54182,737102,728,9707,54252,737662,6352,5156,457178,386346,0
7,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6093,6777,457261,496819,155106,261478,10241244,10997497104,0
7,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
7,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
7,9,1,5,0,1,2,3,0,0,0,0,5156,6352,386346,457178,5152,6368,385837,458519,6777,6093,496819,457261,0
7,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
7,9,1,7,0,1,2,3,0,0,0,0,720,9686,53440,737096,732,9711,54560,739314,6368,5152,458519,385837,0
