Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
1,9,2,3,0,1,2,3,0,0,0,0,1660044,947456,66461962976,62656322,972470,628579,43291928896,41623476,1562804,2470832,103220075,109748563325,0
1,9,2,2,0,1,2,3,0,0,0,0,2470832,1562804,109748563325,103220075,1913808,1204562,85383537075,79579385,2760284,4380325,182251795,195131777228,0
1,9,2,5,0,1,2,3,0,0,0,0,1991314,1239601,88954682253,81897947,2024425,1285290,89921532182,84942982,2518601,4011441,166343143,178875893176,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605309,42825058270,40079181,954394,612916,42558190904,40580391,1204562,1913808,79579385,85383537075,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328534,21799584098,21841818,1529440,970232,68121660544,64199134,1285290,2024425,84942982,89921532182,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629184,45080723500,41657402,980150,623906,43873671072,41313694,1239601,1991314,81897947,88954682253,0
1,9,2,3,0,1,2,3,0,0,0,0,1660144,947456,66462114176,62656322,972470,628579,43291928896,41623476,1562804,2470932,103220075,109748714525,0
1,9,2,2,0,1,2,3,0,0,0,0,2470932,1562804,109748714525,103220075,1913808,1204562,85383537075,79579385,2760284,4380425,182251795,195131928428,0
1,9,2,5,0,1,2,3,0,0,0,0,1991314,1239601,88954682253,81897947,2024425,1285290,89921532182,84942982,2518601,4011441,166343143,178875893176,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605309,42825058270,40079181,954394,612916,42558190904,40580391,1204562,1913808,79579385,85383537075,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328534,21799584098,21841818,1529440,970232,68121660544,64199134,1285290,2024425,84942982,89921532182,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629184,45080723500,41657402,980150,623906,43873671072,41313694,1239601,1991314,81897947,88954682253,0
1,9,2,3,0,1,2,3,0,0,0,0,1660247,947456,66462269912,62656322,972470,628579,43291928896,41623476,1562804,2471035,103220075,109748870261,0
1,9,2,2,0,1,2,3,0,0,0,0,2471035,1562804,109748870261,103220075,1913808,1204562,85383537075,79579385,2760284,4380528,182251795,195132084164,0
1,9,2,5,0,1,2,3,0,0,0,0,1991314,1239601,88954682253,81897947,2024425,1285290,89921532182,84942982,2518601,4011441,166343143,178875893176,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605309,42825058270,40079181,954394,612916,42558190904,40580391,1204562,1913808,79579385,85383537075,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328534,21799584098,21841818,1529440,970232,68121660544,64199134,1285290,2024425,84942982,89921532182,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629184,45080723500,41657402,980150,623906,43873671072,41313694,1239601,1991314,81897947,88954682253,0
1,9,2,3,0,1,2,3,0,0,0,0,1660348,947456,66462422624,62656322,972470,628579,43291928896,41623476,1562804,2471136,103220075,109749022973,0
1,9,2,2,0,1,2,3,0,0,0,0,2471136,1562804,109749022973,103220075,1913808,1204562,85383537075,79579385,2760284,4380629,182251795,195132236876,0
1,9,2,5,0,1,2,3,0,0,0,0,1991314,1239601,88954682253,81897947,2024425,1285290,89921532182,84942982,2518601,4011441,166343143,178875893176,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605309,42825058270,40079181,954394,612916,42558190904,40580391,1204562,1913808,79579385,85383537075,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328534,21799584098,21841818,1529440,970232,68121660544,64199134,1285290,2024425,84942982,89921532182,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629184,45080723500,41657402,980150,623906,43873671072,41313694,1239601,1991314,81897947,88954682253,0
1,9,2,3,0,1,2,3,0,0,0,0,1660450,947456,66462576848,62656322,972470,628579,43291928896,41623476,1562804,2471238,103220075,109749177197,0
1,9,2,2,0,1,2,3,0,0,0,0,2471238,1562804,109749177197,103220075,1913808,1204562,85383537075,79579385,2760284,4380731,182251795,195132391100,0
1,9,2,5,0,1,2,3,0,0,0,0,1991314,1239601,88954682253,81897947,2024425,1285290,89921532182,84942982,2518601,4011441,166343143,178875893176,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605309,42825058270,40079181,954394,612916,42558190904,40580391,1204562,1913808,79579385,85383537075,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328534,21799584098,21841818,1529440,970232,68121660544,64199134,1285290,2024425,84942982,89921532182,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629184,45080723500,41657402,980150,623906,43873671072,41313694,1239601,1991314,81897947,88954682253,0
1,9,2,3,0,1,2,3,0,0,0,0,1660553,947459,66462731114,62656522,972470,628581,43291928896,41623634,1562806,2471342,103220192,109749331538,0
1,9,2,2,0,1,2,3,0,0,0,0,2471342,1562806,109749331538,103220192,1913809,1204564,85383537150,79579502,2760286,4380835,182251912,195132545441,0
1,9,2,5,0,1,2,3,0,0,0,0,1991315,1239602,88954682328,81898022,2024426,1285291,89921532257,84943057,2518602,4011442,166343218,178875893251,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605312,42825058270,40079381,954394,612919,42558190904,40580591,1204564,1913809,79579502,85383537150,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328536,21799584098,21841976,1529440,970234,68121660544,64199292,1285291,2024426,84943057,89921532257,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629186,45080723500,41657560,980150,623908,43873671072,41313852,1239602,1991315,81898022,88954682328,0
1,9,2,3,0,1,2,3,0,0,0,0,1660654,947459,66462883826,62656522,972470,628581,43291928896,41623634,1562806,2471443,103220192,109749484250,0
1,9,2,2,0,1,2,3,0,0,0,0,2471443,1562806,109749484250,103220192,1913809,1204564,85383537150,79579502,2760286,4380936,182251912,195132698153,0
1,9,2,5,0,1,2,3,0,0,0,0,1991315,1239602,88954682328,81898022,2024426,1285291,89921532257,84943057,2518602,4011442,166343218,178875893251,0
1,9,2,4,0,1,2,3,0,0,0,0,955575,605312,42825058270,40079381,954394,612919,42558190904,40580591,1204564,1913809,79579502,85383537150,0
1,9,2,7,0,1,2,3,0,0,0,0,491151,328536,21799584098,21841976,1529440,970234,68121660544,64199292,1285291,2024426,84943057,89921532257,0
1,9,2,6,0,1,2,3,0,0,0,0,1007328,629186,45080723500,41657560,980150,623908,43873671072,41313852,1239602,1991315,81898022,88954682328,0
1,9,2,3,0,1,2,3,0,0,0,0,1660756,947459,66463038050,62656522,972470,628581,43291928896,41623634,1562806,2471545,103220192,109749638474,0
1,9,2,2,0,1,2,3,0,0,0,0,2471545,1562806,109749638474,103220192,1913809,1204564,85383537150,79579502,2760286,4381038,182251912,195132852377,0
