Protocol,Time,Model
tcp, 3.8929731369, rnn
tcp, 4.17260541916, rnn
tcp, 4.76451802254, rnn
tcp, 4.79866814613, rnn
tcp, 3.82354617119, rnn
tcp, 4.86168718338, rnn
tcp, 4.29611005783, rnn
tcp, 3.71358699799, rnn
tcp, 3.16633319855, rnn
tcp, 4.20781517029, rnn
udp, 3.42598295212, rnn
udp, 3.4465649128, rnn
udp, 4.46688485146, rnn
udp, 3.48629879951, rnn
udp, 3.50727391243, rnn
udp, 4.52596879005, rnn
udp, 3.54649782181, rnn
udp, 3.60881280899, rnn
udp, 4.63732194901, rnn
udp, 4.65986990929, rnn
icmp, 4.34891009331, rnn
icmp, 3.3671631813, rnn
icmp, 4.3861989975, rnn
icmp, 4.40562415123, rnn
icmp, 4.4250600338, rnn
icmp, 3.44061613083, rnn
icmp, 3.84573299885, rnn
icmp, 4.55365300179, rnn
icmp, 4.57023310661, rnn
icmp, 3.85896761417, rnn
icmp, 3.25692447662, knn
icmp, 3.22217132449, knn
icmp, 3.25882924795, knn
icmp, 3.26353200078, knn
icmp, 4.29926319718, knn
icmp, 3.3041020751, knn
icmp, 3.34213217497, knn
icmp, 4.34690092206, knn
icmp, 3.68489227295, knn
icmp, 3.38980582356, knn
icmp, 4.26030583382, lr
icmp, 4.10771083832, lr
icmp, 3.13398945332, lr
icmp, 3.15913939476, lr
icmp, 3.72325241566, lr
icmp, 3.75517141819, lr
icmp, 4.31442248821, lr
icmp, 4.34224295616, lr
icmp, 4.89937746525, lr
icmp, 4.93021297455, lr
icmp, 3.43072104454, dt
icmp, 3.46847403049, dt
icmp, 4.06826007366, dt
icmp, 4.09917151928, dt
icmp, 4.67362248898, dt
icmp, 4.70045351982, dt
icmp, 4.28934049606, dt
icmp, 4.32251596451, dt
icmp, 4.88273453712, dt
icmp, 4.91208398342, dt
icmp, 2.99366593361, rf
icmp, 3.16823601723, rf
icmp, 4.6533408165, rf
icmp, 4.82280182838, rf
icmp, 3.13751494884, rf
icmp, 3.22585046291, rf
icmp, 3.99568200111, rf
icmp, 4.0826934576, rf
icmp, 4.81180751324, rf
icmp, 4.89866995811, rf
icmp, 3.35166788101, gb
icmp, 3.47389602661, gb
icmp, 4.75714087486, gb
icmp, 4.8869509697, gb
icmp, 3.08504343033, gb
icmp, 3.16129148006, gb
icmp, 3.83803296089, gb
icmp, 3.90425598621, gb
icmp, 4.54732942581, gb
icmp, 4.6114000082, gb
udp, 3.5072737462, knn
udp, 4.77969914127, knn
udp, 4.28089732272, knn
udp, 3.17732582944, knn
udp, 3.71738249091, knn
udp, 3.62050408553, knn
udp, 3.96075978407, knn
udp, 3.88486719422, knn
udp, 3.36627368466, knn
udp, 3.2268210519, knn
udp, 4.60126438598, lr
udp, 3.42126238084, lr
udp, 4.58061982897, lr
udp, 3.59212172511, lr
udp, 3.13316421209, lr
udp, 4.64918135364, lr
udp, 4.32302514746, lr
udp, 3.82840549098, lr
udp, 3.45210684504, lr
udp, 4.14328011733, lr
udp, 4.67517057594, dt
udp, 4.78610640441, dt
udp, 3.42575188784, dt
udp, 4.8717120323, dt
udp, 4.35274128736, dt
udp, 4.5099112709, dt
udp, 3.24676165641, dt
udp, 4.07767729762, dt
udp, 3.87471032677, dt
udp, 4.61474843099, dt
udp, 3.67421015817, rf
udp, 4.28623982715, rf
udp, 3.64172997671, rf
udp, 3.55465987279, rf
udp, 4.39625383688, rf
udp, 4.51564489118, rf
udp, 4.58910935016, rf
udp, 4.12483908442, rf
udp, 3.66515864418, rf
udp, 4.66661975589, rf
udp, 3.22193217417, gb
udp, 4.37198093152, gb
udp, 3.70547759309, gb
udp, 3.61446779444, gb
udp, 3.92376471765, gb
udp, 4.53166338067, gb
udp, 3.44485641197, gb
udp, 4.07830404393, gb
udp, 3.50587439344, gb
udp, 3.25478335506, gb
tcp, 4.00491225533, knn
tcp, 4.29398984966, knn
tcp, 4.46726253919, knn
tcp, 4.40322281459, knn
tcp, 4.35795289051, knn
tcp, 4.56356547469, knn
tcp, 3.2689297351, knn
tcp, 4.07943948637, knn
tcp, 3.47514797772, knn
tcp, 3.7996490225, knn
tcp, 3.32802324421, lr
tcp, 3.51443688864, lr
tcp, 3.38717063306, lr
tcp, 3.36112449324, lr
tcp, 4.47732015358, lr
tcp, 3.51170017154, lr
tcp, 4.15427387919, lr
tcp, 4.73065403442, lr
tcp, 3.3596693958, lr
tcp, 3.66990479592, lr
tcp, 4.50286723755, dt
tcp, 4.88584901876, dt
tcp, 3.69939957081, dt
tcp, 3.5440273212, dt
tcp, 4.4401905837, dt
tcp, 3.16311927805, dt
tcp, 4.14355275443, dt
tcp, 4.27326649003, dt
tcp, 4.42324727322, dt
tcp, 3.48607917685, dt
tcp, 3.41169704898, rf
tcp, 4.62689912538, rf
tcp, 4.52044602568, rf
tcp, 3.88036772965, rf
tcp, 4.31583459417, rf
tcp, 3.85917916169, rf
tcp, 4.82390769543, rf
tcp, 4.21187641362, rf
tcp, 4.15788556215, rf
tcp, 3.93641507508, rf
tcp, 4.19923607692, gb
tcp, 3.76355486091, gb
tcp, 4.00181571065, gb
tcp, 3.35105837311, gb
tcp, 4.09425707757, gb
tcp, 3.42810389268, gb
tcp, 4.7439606304, gb
tcp, 3.55112774367, gb
tcp, 3.40936134311, gb
tcp, 3.54375830587, gb
